Organization,State,Categories,Contact
Mythri Sarva Seva Samithi,karnataka,"Agriculture, Education, Environment, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9448345018 Email:  msss87@gmail.com Website:  http://www.msss.in
Mythri Sarva Seva Samithi,tamil nadu,"Agriculture, Education, Environment, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9448345018 Email:  msss87@gmail.com Website:  http://www.msss.in
Mythri Sarva Seva Samithi,telangana,"Agriculture, Education, Environment, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9448345018 Email:  msss87@gmail.com Website:  http://www.msss.in
Naba Tarun Sangha,west bengal,"Health, Livelihood, Rural Development",Tel:  9143866350 Email:  ksnabatarunsangha@gmail.com Website:  http://www.nabatarunsangha.org
Naisargik Trust,gujarat,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9909960835 Email:  naisargikpln@gmail.com Website:   http://www.naisargik.org
Nalandaway Foundation,delhi,Education,Tel:  9884499196 Email:  kavita@nalandaway.org Website:  https://www.nalandaway.org/
Nalandaway Foundation,tamil nadu,Education,Tel:  9884499196 Email:  kavita@nalandaway.org Website:  https://www.nalandaway.org/
Narayan Sewa Sansthan,rajasthan,"Education (Including Vocational Training), Women Empowerment / Gender",Tel:  9928744444 Email:  project@narayanseva.org Website:  http://www.narayanseva.org
National Agency For Social Research And Development,kerala,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9447293907 Email:  ivyzach1@yahoo.com Website:  http://www.nasradkerala.com
National Banjara Education Society,andhra pradesh,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9611080566 Email:  nationalbanjarasociety@gmail.com Website:  http://www.nationalbanjaraeducationsociety.org
National Banjara Education Society,delhi,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9611080566 Email:  nationalbanjarasociety@gmail.com Website:  http://www.nationalbanjaraeducationsociety.org
National Banjara Education Society,karnataka,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9611080566 Email:  nationalbanjarasociety@gmail.com Website:  http://www.nationalbanjaraeducationsociety.org
National Banjara Education Society,kerala,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9611080566 Email:  nationalbanjarasociety@gmail.com Website:  http://www.nationalbanjaraeducationsociety.org
National Banjara Education Society,maharashtra,"Agriculture, Education, Environment, Forestry, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9611080566 Email:  nationalbanjarasociety@gmail.com Website:  http://www.nationalbanjaraeducationsociety.org
National Industrial Training & Consultancy (NIT.CO.),jammu & kashmir,"Disaster Prevention, Education, Environment, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9419159424 Email:  nitcojammu@yahoo.com Website:  http://www.nitcojammu.org
National Institute Of Social Development (NISD),maharashtra,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9822918211 Email:  nisdpune@nisd.org.in Website:  http://nisdpune.org
National Skills Foundation Of India,andhra pradesh,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,haryana,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,himachal pradesh,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,jharkhand,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,karnataka,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,kerala,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,madhya pradesh,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,maharashtra,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,rajasthan,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,tripura,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,uttar pradesh,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
National Skills Foundation Of India,west bengal,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8826521956 Email:  info@nsfindia.org Website:  http://www.nsfindia.org
Native Medicare Charitable Trust,kerala,"Agriculture, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9443385107 Email:  info@nmctngo.org Website:  http://www.nmctngo.org/index.html
Native Medicare Charitable Trust,tamil nadu,"Agriculture, Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9443385107 Email:  info@nmctngo.org Website:  http://www.nmctngo.org/index.html
National Association For Rural Integration (NARI),andhra pradesh,"Agriculture, Environment, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  8074941887 Email:  naringo2001@gmail.com Website:  https://www.linkedin.com/in/rajani-nadavaluru-95695349/
Natural Resource Management & Common Wealth,andhra pradesh,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,arunachal pradesh,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,assam,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,bihar,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,chandigarh,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,chhattisgarh,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,delhi,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,goa,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,gujarat,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,haryana,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,himachal pradesh,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,jammu & kashmir,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,jharkhand,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,karnataka,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,kerala,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,lakshwadeep,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,madhya pradesh,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,maharashtra,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,manipur,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,meghalaya,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
Natural Resource Management & Common Wealth,mizoram,"Education (Including Vocational Training), Environment, Health, Health (Including Nutrition, Maternal Healthcare), Livelihood, Rural Development, Water Supply / Waste Management / Sanitation, Women Empowerment / Gender",Tel:  9425608156 Email:  nrmcwindia@gmail.com Website:  http://www.nrmcw.org
